sentence	sentence_tagged	regulator	regulated	span_regulator_regulated	label
Therefore , a straightforward interpretation of our results , as further discussed below , is that ( i ) ArgP is a transcriptional activator of yggA , ( ii ) ArgP â€™ s activator function is enhanced by Arg and inhibited by Lys , and ( iii ) yggA encodes an Arg ( and CAN ) exporter in E . coli .	Therefore , a straightforward interpretation of our results , as further discussed below , is that ( i ) @TF$ is a transcriptional activator of yggA , ( ii ) ArgP â€™ s activator function is enhanced by Arg and inhibited by Lys , and ( iii ) @Regulated$ encodes an Arg ( and CAN ) exporter in E . coli .	ArgP	yggA	[[105, 109], [242, 246]]	no_relation
To investigate how IHF activates fimB expression further , the IHF binding site mutation described above was combined with those in O NC1 , O NC2 and O NR alone , and O NC1 O NR in combination , and the expression of the FimB â€“ LacZ chimera was measured ( Fig . 6 ) .	To investigate how @TF$ activates @Regulated$ expression further , the IHF binding site mutation described above was combined with those in O NC1 , O NC2 and O NR alone , and O NC1 O NR in combination , and the expression of the FimB â€“ LacZ chimera was measured ( Fig . 6 ) .	IHF	fimB	[[19, 22], [33, 37]]	activator
Thus , the melR promoter is not efficiently repressed by MelR , and MelR is over - expressed .	Thus , the @Regulated$ promoter is not efficiently repressed by MelR , and @TF$ is over - expressed .	MelR	melR	[[68, 72], [11, 15]]	repressor
The Rob homologs MarA and SoxS can activate transcription of a broad range of genes in vivo ( reviewed in references 2 and 14 ) , including sodA , fumC , micF , zwf , and inaA , suggesting broadly overlapping activities of these three regulators .	The Rob homologs MarA and @TF$ can activate transcription of a broad range of genes in vivo ( reviewed in references 2 and 14 ) , including sodA , fumC , micF , @Regulated$ , and inaA , suggesting broadly overlapping activities of these three regulators .	SoxS	zwf	[[26, 30], [161, 164]]	activator
Transposon mutagenesis experiments aimed at defining the Rob regulon revealed eight Rob - regulated targets , namely inaA , marRAB , aslB , ybaO , mdlA , yfhD , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .	Transposon mutagenesis experiments aimed at defining the @TF$ regulon revealed eight Rob - regulated targets , namely inaA , marRAB , aslB , @Regulated$ , mdlA , yfhD , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .	Rob	ybaO	[[57, 60], [140, 144]]	no_relation
These binding sites are located upstream of the Fnr - binding site in the control regions of the NarL - activated narG , fdnG and narK operons .	These binding sites are located upstream of the Fnr - binding site in the control regions of the @TF$ - activated narG , fdnG and @Regulated$ operons .	NarL	narK	[[97, 101], [130, 134]]	activator
Finally , either NarL or NarP was able to activate nrfA - lacZ expression independently of the other , while only NarL could repress expression .	Finally , either @TF$ or NarP was able to activate @Regulated$ - lacZ expression independently of the other , while only NarL could repress expression .	NarL	nrfA	[[17, 21], [51, 55]]	repressor
However the much stronger repression of this fusion by overproduced Mlc , compared with overproduced NagC , shows that the isolated nagE operator site has a higher affinity for Mlc than NagC .	However the much stronger repression of this fusion by overproduced Mlc , compared with overproduced NagC , shows that the isolated @Regulated$ operator site has a higher affinity for @TF$ than NagC .	Mlc	nagE	[[177, 180], [132, 136]]	repressor
Effect of excess ChbR and NagC on repression of the chbB â€“ lacZ fusion . wild type nagC chbR pTZ ( NagC ) 48 Â± 6 47 Â± 3 83 Â± 4 pTZ ( Mlc ) 42 Â± 4 62 Â± 3 56 Â± 4 pTZ ( ChbR ) 2.3 Â± 0.2 32 Â± 2 2.8 Â± 0.5 pTZ control .	Effect of excess ChbR and @TF$ on repression of the @Regulated$ â€“ lacZ fusion . wild type nagC chbR pTZ ( NagC ) 48 Â± 6 47 Â± 3 83 Â± 4 pTZ ( Mlc ) 42 Â± 4 62 Â± 3 56 Â± 4 pTZ ( ChbR ) 2.3 Â± 0.2 32 Â± 2 2.8 Â± 0.5 pTZ control .	NagC	chbB	[[26, 30], [52, 56]]	repressor
Transcriptional activation by MarA , SoxS and Rob of two tolC promoters using one binding site : a complex promoter configuration for tolC in Escherichia coli .	Transcriptional activation by MarA , @TF$ and Rob of two @Regulated$ promoters using one binding site : a complex promoter configuration for tolC in Escherichia coli .	SoxS	tolC	[[37, 41], [57, 61]]	activator
This component of CRP activation at rhaSR could account for the majority of the CRP activation in a wild - type context and may involve a mechanism , such as DNA bending , that can act from a distance .	This component of CRP activation at @Regulated$ could account for the majority of the @TF$ activation in a wild - type context and may involve a mechanism , such as DNA bending , that can act from a distance .	CRP	rhaSR	[[80, 83], [36, 41]]	no_relation
However , under inducing conditions , the P cadBA activity in the lrp : : Km r mutant strain was 2 - fold lower than that in the parent strain , suggesting that Lrp stimulates expression of cadBA .	However , under inducing conditions , the P @Regulated$ activity in the lrp : : Km r mutant strain was 2 - fold lower than that in the parent strain , suggesting that @TF$ stimulates expression of cadBA .	Lrp	cadBA	[[161, 164], [44, 49]]	no_relation
Although DnaA protein , at concentrations of 75 ng and greater , reduced transcription from rpmH promoter 1P , repression was preferential for the dnaA promoters .	Although @TF$ protein , at concentrations of 75 ng and greater , reduced transcription from rpmH promoter 1P , repression was preferential for the @Regulated$ promoters .	DnaA	dnaA	[[9, 13], [147, 151]]	repressor
Q 2000 Blackwell Science Ltd , Molecular Microbiology , 36 , 211 ± 222Activation at the E . coli melAB promoter 213 in vitro and that this activation is dependent on MelR and melibiose .	Q 2000 Blackwell Science Ltd , Molecular Microbiology , 36 , 211 ± 222Activation at the E . coli @Regulated$ promoter 213 in vitro and that this activation is dependent on @TF$ and melibiose .	MelR	melAB	[[166, 170], [97, 102]]	activator
More recently , ArgP was shown to bind to an approximately 60 - bp - long sequence partially overlapping the argO promoter	More recently , @TF$ was shown to bind to an approximately 60 - bp - long sequence partially overlapping the @Regulated$ promoter	ArgP	argO	[[16, 20], [109, 113]]	activator
Thus , overproduction of IciA protein specifically increased transcription from the dnaA promoter 1P .	Thus , overproduction of @TF$ protein specifically increased transcription from the @Regulated$ promoter 1P .	IciA	dnaA	[[25, 29], [84, 88]]	activator
The fact that most Fnrdependent promoters have the latter architecture may be due to the fact that many of them are also activated by the NarL protein ( e . g . , the narG , fdnG , nrfA , and nirB promoters ) .	The fact that most Fnrdependent promoters have the latter architecture may be due to the fact that many of them are also activated by the @TF$ protein ( e . g . , the @Regulated$ , fdnG , nrfA , and nirB promoters ) .	NarL	narG	[[138, 142], [167, 171]]	activator
During the course of our studies on CRP activation of the rhaBAD operon , we compared expression from various rhaBAD promoter fusions ( Fig . 1 ) in crp and crp strain backgrounds .	During the course of our studies on @TF$ activation of the rhaBAD operon , we compared expression from various @Regulated$ promoter fusions ( Fig . 1 ) in crp and crp strain backgrounds .	CRP	rhaBAD	[[36, 39], [110, 116]]	no_relation
Some of these operons are regulated by the NarL protein alone , such as the narG and frdA operons , whereas expression of the nirB ( encoding NADH - dependent nitrite reductase ) , nrfA and fdnG operons is controlled by both the NarL and NarP proteins .	Some of these operons are regulated by the NarL protein alone , such as the narG and @Regulated$ operons , whereas expression of the nirB ( encoding NADH - dependent nitrite reductase ) , nrfA and fdnG operons is controlled by both the @TF$ and NarP proteins .	NarL	frdA	[[229, 233], [85, 89]]	no_relation
We show that the mutant CRP constitutively activates transcription from both the IS5 - disrupted and the wild - type fucPIK promoters , and we identify the CRP - binding site that is required for this activity .	We show that the mutant @TF$ constitutively activates transcription from both the IS5 - disrupted and the wild - type @Regulated$ promoters , and we identify the CRP - binding site that is required for this activity .	CRP	fucPIK	[[24, 27], [117, 123]]	activator
These observations confirm the importance of the 64.5 sequence in the Fnr - dependent induction of aeg - 46.5 operon expression .	These observations confirm the importance of the 64.5 sequence in the @TF$ - dependent induction of @Regulated$ - 46.5 operon expression .	Fnr	aeg	[[70, 73], [99, 102]]	activator
The effect of cis mutations on Fnr - dependent activation of dmsA - lacZ expression is shown in the lower right portion of the figure . ß - galactosidase activity was measured from the cells containing the indicated fusion inserted in single copy at the att site .	The effect of cis mutations on @TF$ - dependent activation of @Regulated$ - lacZ expression is shown in the lower right portion of the figure . ß - galactosidase activity was measured from the cells containing the indicated fusion inserted in single copy at the att site .	Fnr	dmsA	[[31, 34], [61, 65]]	activator
Presumably , uninduced levels of MarA and / or SoxS mediate a low - level induction of the inaA gene ; the lower basal level of inaA expression in Dmar strains was noted earlier ( Rosner and Slonczewski , 1994 ) .	Presumably , uninduced levels of MarA and / or @TF$ mediate a low - level induction of the @Regulated$ gene ; the lower basal level of inaA expression in Dmar strains was noted earlier ( Rosner and Slonczewski , 1994 ) .	SoxS	inaA	[[47, 51], [91, 95]]	activator
However the much stronger repression of this fusion by overproduced Mlc , compared with overproduced NagC , shows that the isolated nagE operator site has a higher affinity for Mlc than NagC .	However the much stronger repression of this fusion by overproduced @TF$ , compared with overproduced NagC , shows that the isolated @Regulated$ operator site has a higher affinity for Mlc than NagC .	Mlc	nagE	[[68, 71], [132, 136]]	no_relation
Under identical experimental conditions as for argO , the regulatory regions of the other ArgP - regulated genes ( asd , dapB , dapD , gdhA , lysA , lysC , and lysP ) were also bound by ArgP , with apparent K d s ranging from 55 nM to 170 nM ; in all these cases ( unlike the situation with argO ) , the addition of Lys was associated with an increase in the apparent K d , indicating that ArgP binding in these instances is Lys sensitive .	Under identical experimental conditions as for argO , the regulatory regions of the other ArgP - regulated genes ( asd , dapB , dapD , gdhA , lysA , @Regulated$ , and lysP ) were also bound by ArgP , with apparent K d s ranging from 55 nM to 170 nM ; in all these cases ( unlike the situation with argO ) , the addition of Lys was associated with an increase in the apparent K d , indicating that @TF$ binding in these instances is Lys sensitive .	ArgP	lysC	[[390, 394], [149, 153]]	no_relation
When RNAP was added to the rob promoter at 0 Â° C prior to MarA addition and then transfer to 37 Â° C , MarA inhibited rob transcription ( see Fig . 6B ) .	When RNAP was added to the rob promoter at 0 Â° C prior to @TF$ addition and then transfer to 37 Â° C , MarA inhibited @Regulated$ transcription ( see Fig . 6B ) .	MarA	rob	[[59, 63], [119, 122]]	no_relation
We previously demonstrated that in vitro transcriptional activation by MarA at the zwf promoter requires interaction with the carboxy - terminal domain of the a subunit of RNA polymerase ( 21 ) and inferred that MarA activates the mar promoter by enhancing the binding of RNA polymerase ( 27 ) .	We previously demonstrated that in vitro transcriptional activation by MarA at the @Regulated$ promoter requires interaction with the carboxy - terminal domain of the a subunit of RNA polymerase ( 21 ) and inferred that @TF$ activates the mar promoter by enhancing the binding of RNA polymerase ( 27 ) .	MarA	zwf	[[212, 216], [83, 86]]	no_relation
Furthermore , even the finding of Celis ( 12 ) that argK is a target for transcriptional activation by ArgP may need to be reexamined , given that ( i ) there is a discrepancy between the expected argK runoff transcript size ( approximately 310 bases ) determined from the promoter mapping data published by Celis et al . in an earlier paper ( 13 ) and that reported by him ( 215 bases ) for ArgP activation experiments ( 12 ) and ( ii ) the promoter ( for argK ) mapped by his group ( 13 ) is within the argK coding region per the genome sequence published by Blattner et al . ( 5 ) ( GenBank accession number AE000375 , wherein argK is annotated ygfD ) .	Furthermore , even the finding of Celis ( 12 ) that @Regulated$ is a target for transcriptional activation by ArgP may need to be reexamined , given that ( i ) there is a discrepancy between the expected argK runoff transcript size ( approximately 310 bases ) determined from the promoter mapping data published by Celis et al . in an earlier paper ( 13 ) and that reported by him ( 215 bases ) for @TF$ activation experiments ( 12 ) and ( ii ) the promoter ( for argK ) mapped by his group ( 13 ) is within the argK coding region per the genome sequence published by Blattner et al . ( 5 ) ( GenBank accession number AE000375 , wherein argK is annotated ygfD ) .	ArgP	argK	[[392, 396], [52, 56]]	no_relation
Concluding remarks The hcp gene has been shown to be regulated by FNR , NarL and NarP proteins .	Concluding remarks The @Regulated$ gene has been shown to be regulated by FNR , NarL and @TF$ proteins .	NarP	hcp	[[81, 85], [23, 26]]	regulator
nanC expression is also activated by the regulators cyclic AMP - catabolite activator protein , OmpR , and CpxR .	@Regulated$ expression is also activated by the regulators cyclic AMP - catabolite activator protein , @TF$ , and CpxR .	OmpR	nanC	[[96, 100], [0, 4]]	activator
Finally , at the ( rhaB - lacZ ) 110 fusion , which contains the CRP site required for full rhaBAD activation as well as the full RhaS binding site , there was a twofold contribution to activation by CRP when in combination with RhaS - CTD and a fivefold contribution to activation4990 WICKSTRUM ET AL . J .	Finally , at the ( rhaB - lacZ ) 110 fusion , which contains the CRP site required for full @Regulated$ activation as well as the full RhaS binding site , there was a twofold contribution to activation by @TF$ when in combination with RhaS - CTD and a fivefold contribution to activation4990 WICKSTRUM ET AL . J .	CRP	rhaBAD	[[200, 203], [92, 98]]	no_relation
Based on these four sites , the . known start point for araBAD transcription at + 1 ( 6 ) , and an estimated start point for araC transcription near - 170 , Ogden et aL proposed ( i ) that araBAD and araC are stimulated by the . binding of CAP to distinct regions on the ' DNA - CRPBAD and CRPC , respectively , and ( ii ) that the araO , when bound to araC protein , prevents the binding of CAP to either CRPc or CRPBAD , and this in turn de - B756 Biochemistry : Lee et aL Proc .	Based on these four sites , the . known start point for araBAD transcription at + 1 ( 6 ) , and an estimated start point for araC transcription near - 170 , Ogden et aL proposed ( i ) that araBAD and @Regulated$ are stimulated by the . binding of @TF$ to distinct regions on the ' DNA - CRPBAD and CRPC , respectively , and ( ii ) that the araO , when bound to araC protein , prevents the binding of CAP to either CRPc or CRPBAD , and this in turn de - B756 Biochemistry : Lee et aL Proc .	CAP	araC	[[240, 243], [200, 204]]	activator
Thus , the melR promoter is not efficiently repressed by MelR and MelR is overexpressed .	Thus , the @Regulated$ promoter is not efficiently repressed by MelR and @TF$ is overexpressed .	MelR	melR	[[66, 70], [11, 15]]	repressor
These binding sites are located upstream of the Fnr - binding site in the control regions of the NarL - activated narG , fdnG and narK operons .	These binding sites are located upstream of the Fnr - binding site in the control regions of the @TF$ - activated narG , @Regulated$ and narK operons .	NarL	fdnG	[[97, 101], [121, 125]]	activator
Thus the D3 region is not apparently required for NanR to activate fimB expression in the wildtype background , and it could contain specific sequences that inhibit this .	Thus the D3 region is not apparently required for @TF$ to activate @Regulated$ expression in the wildtype background , and it could contain specific sequences that inhibit this .	NanR	fimB	[[50, 54], [67, 71]]	activator
Among the two dnaA promoters , transcription from the promoter 1P was specifically enhanced by the in vivo overproduction of IciA protein or using in vitro transcription assays of the dnaA gene .	Among the two dnaA promoters , transcription from the promoter 1P was specifically enhanced by the in vivo overproduction of @TF$ protein or using in vitro transcription assays of the @Regulated$ gene .	IciA	dnaA	[[125, 129], [184, 188]]	activator
Identification of the DNA - binding domain of the OmpR protein required for transcriptional activation of the ompF and ompC genes of Escherichia coli by in vivo DNA footprinting .	Identification of the DNA - binding domain of the @TF$ protein required for transcriptional activation of the @Regulated$ and ompC genes of Escherichia coli by in vivo DNA footprinting .	OmpR	ompF	[[50, 54], [110, 114]]	activator
In vitro studies of MelR binding at the melR promoter Our results show that MelR - dependent repression of the melR promoter is contingent on MelR binding to site R and is somehow modulated by MelR binding to upstream sites 2 , 1 and 1 0 .	In vitro studies of MelR binding at the melR promoter Our results show that MelR - dependent repression of the @Regulated$ promoter is contingent on @TF$ binding to site R and is somehow modulated by MelR binding to upstream sites 2 , 1 and 1 0 .	MelR	melR	[[142, 146], [111, 115]]	no_relation
Model for MelR - dependent repression of the melR promoter . In the absence of melibiose , MelR subunits occupy Site R and Site 2 forming a repression loop .	Model for MelR - dependent repression of the @Regulated$ promoter . In the absence of melibiose , @TF$ subunits occupy Site R and Site 2 forming a repression loop .	MelR	melR	[[91, 95], [45, 49]]	no_relation
The known SoxS - activated genes are sodA ( encoding Mnsuperoxide dismutase ) , fpr ( NADPH - ferredoxin oxidoreductase ) , micF ( antisense RNA , repressor of OmpF translation ) , ribA ( cyclic GMP hydrolase ) , inaA ( unknown function ) , fldA and fldB ( flavodoxins A and B ) , nfo ( endonuclease IV ) , marRAB ( multiple - antibiotic - resistance operon ) , nfsA ( also called mdaA , a nitroreductase ) , zwf ( glucose - 6 - phosphate dehydrogenase ) , fur ( an iron - binding repressor of iron uptake ) , fumC ( fumarase C ) , acnA ( aconitase ) , tolC ( outer membrane protein ) , acrAB ( drug efflux pump ) , and rimK ( a modifier of ribosomal protein S6 ) .	The known @TF$ - activated genes are sodA ( encoding Mnsuperoxide dismutase ) , fpr ( NADPH - ferredoxin oxidoreductase ) , micF ( antisense RNA , repressor of OmpF translation ) , ribA ( cyclic GMP hydrolase ) , inaA ( unknown function ) , fldA and fldB ( flavodoxins A and B ) , nfo ( endonuclease IV ) , marRAB ( multiple - antibiotic - resistance operon ) , nfsA ( also called mdaA , a nitroreductase ) , zwf ( glucose - 6 - phosphate dehydrogenase ) , fur ( an iron - binding repressor of iron uptake ) , fumC ( fumarase C ) , acnA ( aconitase ) , tolC ( outer membrane protein ) , @Regulated$ ( drug efflux pump ) , and rimK ( a modifier of ribosomal protein S6 ) .	SoxS	acrAB	[[10, 14], [587, 592]]	activator
To investigate how IHF activates fimB expression further , the IHF binding site mutation described above was combined with those in O NC1 , O NC2 and O NR alone , and O NC1 O NR in combination , and the expression of the FimB â€“ LacZ chimera was measured ( Fig . 6 ) .	To investigate how IHF activates @Regulated$ expression further , the @TF$ binding site mutation described above was combined with those in O NC1 , O NC2 and O NR alone , and O NC1 O NR in combination , and the expression of the FimB â€“ LacZ chimera was measured ( Fig . 6 ) .	IHF	fimB	[[63, 66], [33, 37]]	no_relation
In contrast , and in full agreement with the previous results of Wade et al . ( 17 ) , the longer deletion in the TB23 fragment , that removes MelR binding site 2 , results in a sharp reduction in the repression of the melR promoter by MelR .	In contrast , and in full agreement with the previous results of Wade et al . ( 17 ) , the longer deletion in the TB23 fragment , that removes @TF$ binding site 2 , results in a sharp reduction in the repression of the @Regulated$ promoter by MelR .	MelR	melR	[[143, 147], [219, 223]]	no_relation
Fis represses the ogt promoter by displacing upstream - bound NarL To investigate a role of Fis at the ogt promoter , expression of the ogt : : lac fusion was compared in strain JCB387 and in the fis mutant derivative , JCB3871 .	Fis represses the ogt promoter by displacing upstream - bound NarL To investigate a role of @TF$ at the @Regulated$ promoter , expression of the ogt : : lac fusion was compared in strain JCB387 and in the fis mutant derivative , JCB3871 .	Fis	ogt	[[92, 95], [103, 106]]	no_relation
Considering the in vivo and in vitro data presented in this work , the mechanism by which ArgP regulates argO transcription ( 24 ) , and the known capacity of Lrp to alter the shape of the DNA by inducing bending and wrapping ( 57 ) , a model for lysP regulation in which binding of Lrp to the lysP control region may favor and / or stabilize the ArgP - RNA polymerase - DNA complexes or introduce DNA conformational changes is conceivable .	Considering the in vivo and in vitro data presented in this work , the mechanism by which ArgP regulates @Regulated$ transcription ( 24 ) , and the known capacity of Lrp to alter the shape of the DNA by inducing bending and wrapping ( 57 ) , a model for lysP regulation in which binding of Lrp to the lysP control region may favor and / or stabilize the @TF$ - RNA polymerase - DNA complexes or introduce DNA conformational changes is conceivable .	ArgP	argO	[[347, 351], [105, 109]]	no_relation
In silico analyses and experimental verification of potential binding sites for Lrp in the argO control region The formation of multiple Lrp â€“ argO operator complexes with a different apparent stoichiometry suggests the existence of several binding sites for Lrp in the argO control region .	In silico analyses and experimental verification of potential binding sites for Lrp in the argO control region The formation of multiple @TF$ â€“ argO operator complexes with a different apparent stoichiometry suggests the existence of several binding sites for Lrp in the @Regulated$ control region .	Lrp	argO	[[137, 140], [272, 276]]	no_relation
Autoradiographs of EMSA analyses of Lrp binding to the argO control region without and with 7 mM L - leucine in the binding buffer respectively .	Autoradiographs of EMSA analyses of @TF$ binding to the @Regulated$ control region without and with 7 mM L - leucine in the binding buffer respectively .	Lrp	argO	[[36, 39], [55, 59]]	regulator
The results described above also suggest that when O NR is placed closer to the fimB promoter , NanR is better able to activate fimB expression , and further work supports this idea .	The results described above also suggest that when O NR is placed closer to the @Regulated$ promoter , @TF$ is better able to activate fimB expression , and further work supports this idea .	NanR	fimB	[[96, 100], [80, 84]]	no_relation
This unusual spacing in relation to the RNA polymerase binding site may reflect a distinct mechanism by which Fnr ( and NarP ) activates aeg - 46.5 operon expression .	This unusual spacing in relation to the RNA polymerase binding site may reflect a distinct mechanism by which Fnr ( and @TF$ ) activates @Regulated$ - 46.5 operon expression .	NarP	aeg	[[120, 124], [137, 140]]	activator
At the nirB promoter ( pnirB ) , it has been shown that IHF and Fis drive the promoter DNA into an inhibitory architecture , which represses FNR - dependent transcription .	At the @Regulated$ promoter ( pnirB ) , it has been shown that IHF and @TF$ drive the promoter DNA into an inhibitory architecture , which represses FNR - dependent transcription .	Fis	nirB	[[64, 67], [7, 11]]	repressor
Thus , the left and right half - sites are equivalent in their ability to confer Fnr - dependent activation of dmsA gene expression by RNA polymerase .	Thus , the left and right half - sites are equivalent in their ability to confer @TF$ - dependent activation of @Regulated$ gene expression by RNA polymerase .	Fnr	dmsA	[[81, 84], [111, 115]]	activator
Although these results are consistent with the requirement for CAP and ChbR for chbB activation there is a significant difference between the in vivo and in vitro data .	Although these results are consistent with the requirement for CAP and @TF$ for @Regulated$ activation there is a significant difference between the in vivo and in vitro data .	ChbR	chbB	[[71, 75], [80, 84]]	activator
Concomitant with upregulation of tolC , EvgA upregulated several multidrug resistance genes ( acrAB , emrKY , mdfA and yhiUV ) and showed increased antibiotic resistance that was fully dependent on TolC but only partially dependent on AcrA .	Concomitant with upregulation of tolC , @TF$ upregulated several multidrug resistance genes ( acrAB , emrKY , @Regulated$ and yhiUV ) and showed increased antibiotic resistance that was fully dependent on TolC but only partially dependent on AcrA .	EvgA	mdfA	[[40, 44], [110, 114]]	activator
The binding of two dimers of IciA protein to the IciA I site is responsible for the activation of dnaA promoter 1P .	The binding of two dimers of @TF$ protein to the IciA I site is responsible for the activation of @Regulated$ promoter 1P .	IciA	dnaA	[[29, 33], [98, 102]]	no_relation
Transposon mutagenesis experiments aimed at defining the Rob regulon revealed eight Rob - regulated targets , namely inaA , marRAB , aslB , ybaO , mdlA , yfhD , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .	Transposon mutagenesis experiments aimed at defining the @TF$ regulon revealed eight Rob - regulated targets , namely inaA , marRAB , aslB , ybaO , mdlA , yfhD , ybiS , and @Regulated$ ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .	Rob	galT	[[57, 60], [172, 176]]	no_relation
DNA sequence inspection and previous results indicating that RhaS was required for activation of rhaT expression ( 40 ) suggested that RhaS binds to DNA at the rhaT promoter , but direct evidence of RhaS protein binding to rhaT promoter DNA had not been obtained .	DNA sequence inspection and previous results indicating that RhaS was required for activation of @Regulated$ expression ( 40 ) suggested that RhaS binds to DNA at the rhaT promoter , but direct evidence of @TF$ protein binding to rhaT promoter DNA had not been obtained .	RhaS	rhaT	[[199, 203], [97, 101]]	no_relation
To measure MelR - dependent repression of melR promoter activity , the pRW50 derivatives carrying the TB20 , TB22 , TB23 or TB10 fragments were transformed into WAM1321 melR lac cells containing either pJW15 , encoding melR , or empty control vector , pJWmelR and b - galactosidase activities were measured .	To measure @TF$ - dependent repression of melR promoter activity , the pRW50 derivatives carrying the TB20 , TB22 , TB23 or TB10 fragments were transformed into WAM1321 melR lac cells containing either pJW15 , encoding @Regulated$ , or empty control vector , pJWmelR and b - galactosidase activities were measured .	MelR	melR	[[11, 15], [219, 223]]	no_relation
Given the proximity of this binding site to the start site for transcription , these results suggest a model where AraC sterically inhibits the binding of XylR and RNA polymerase to the P xylA promoter , consistent with our experimental results .	Given the proximity of this binding site to the start site for transcription , these results suggest a model where @TF$ sterically inhibits the binding of XylR and RNA polymerase to the P @Regulated$ promoter , consistent with our experimental results .	AraC	xylA	[[115, 119], [188, 192]]	repressor
Another example is the NarL / NarP - and FNR - stimulated expression of nirB and nrf genes , which are repressed by Fis and IHF ( Browning et al . , 2002 ) .	Another example is the @TF$ / NarP - and FNR - stimulated expression of @Regulated$ and nrf genes , which are repressed by Fis and IHF ( Browning et al . , 2002 ) .	NarL	nirB	[[23, 27], [72, 76]]	activator
( 2001 ) DNA binding sites for the Mlc and NagC proteins : regulation of nagE , encoding the N - acetylglucosamine specific transporter in Escherichia coli .	( 2001 ) DNA binding sites for the Mlc and @TF$ proteins : regulation of @Regulated$ , encoding the N - acetylglucosamine specific transporter in Escherichia coli .	NagC	nagE	[[43, 47], [73, 77]]	regulator
By replacing the 274 bp of wild - type DNA from - 467 to - 194 with heterologous sequences it was shown that neither NanR nor NagC requires this segment of DNA in order to activate fimB expression .	By replacing the 274 bp of wild - type DNA from - 467 to - 194 with heterologous sequences it was shown that neither NanR nor @TF$ requires this segment of DNA in order to activate @Regulated$ expression .	NagC	fimB	[[126, 130], [181, 185]]	activator
This investigation reveals that the similarity sufficient to guarantee homology is hardly found between the regulatory protein and the regulated protein , except for the relation between the repressor RbsR and the regulated operon rbsDACBK , where RbsR has been indicated to show considerable similarity to the ribose binding protein RbsB ( Mauzy &amp; Hermodson , 1992 ) , and for some of the regulatory proteins that are known to be self - regulated at the level of transcription .	This investigation reveals that the similarity sufficient to guarantee homology is hardly found between the regulatory protein and the regulated protein , except for the relation between the repressor @TF$ and the regulated operon @Regulated$ , where RbsR has been indicated to show considerable similarity to the ribose binding protein RbsB ( Mauzy &amp; Hermodson , 1992 ) , and for some of the regulatory proteins that are known to be self - regulated at the level of transcription .	RbsR	rbsDACBK	[[201, 205], [231, 239]]	regulator
In contrast , in all three known examples of MarA - repressed genes ( hdeA , purA , and rob ) , the marbox is in the backward orientation and is proximal to or overlapping the RNAP - binding site ( see Fig . 8 ) .	In contrast , in all three known examples of @TF$ - repressed genes ( @Regulated$ , purA , and rob ) , the marbox is in the backward orientation and is proximal to or overlapping the RNAP - binding site ( see Fig . 8 ) .	MarA	hdeA	[[45, 49], [70, 74]]	repressor
Like MalE - SoxS , MarA ( i ) activated the transcription of zwf , fpr , fumC , micF , nfo , and sodA ; ( ii ) required a 21 - bp  soxbox  sequence to activate zwf transcription ; and ( iii ) was  ambidextrous ,  i . e . , required the C - terminal domain of the a subunit of RNA polymerase for activation of zwf but not fumC or micF .	Like MalE - SoxS , @TF$ ( i ) activated the transcription of zwf , fpr , fumC , micF , @Regulated$ , and sodA ; ( ii ) required a 21 - bp  soxbox  sequence to activate zwf transcription ; and ( iii ) was  ambidextrous ,  i . e . , required the C - terminal domain of the a subunit of RNA polymerase for activation of zwf but not fumC or micF .	MarA	nfo	[[19, 23], [87, 90]]	activator
The results described above also suggest that when O NR is placed closer to the fimB promoter , NanR is better able to activate fimB expression , and further work supports this idea .	The results described above also suggest that when O NR is placed closer to the fimB promoter , @TF$ is better able to activate @Regulated$ expression , and further work supports this idea .	NanR	fimB	[[96, 100], [128, 132]]	activator
The napF operon provides the only known example of a promoter activated by NarP but not NarL .	The @Regulated$ operon provides the only known example of a promoter activated by @TF$ but not NarL .	NarP	napF	[[75, 79], [4, 8]]	activator
DNA sequence inspection and previous results indicating that RhaS was required for activation of rhaT expression ( 40 ) suggested that RhaS binds to DNA at the rhaT promoter , but direct evidence of RhaS protein binding to rhaT promoter DNA had not been obtained .	DNA sequence inspection and previous results indicating that RhaS was required for activation of rhaT expression ( 40 ) suggested that RhaS binds to DNA at the @Regulated$ promoter , but direct evidence of @TF$ protein binding to rhaT promoter DNA had not been obtained .	RhaS	rhaT	[[199, 203], [160, 164]]	no_relation
A plasmid carrying the mlc gene expressed from its own promoter ( pMlc2 , a gift from S . Ichihara ) produced a 10 - fold repression of the manX â€“ lacZ fusion , while a plasmid in which Mlc was under the control of the lac promoter , pTZ ( Mlc ) , reduced expression of the fusion to less than measurable values ( greater than 100 - fold ; Table 5 ) .	A plasmid carrying the mlc gene expressed from its own promoter ( pMlc2 , a gift from S . Ichihara ) produced a 10 - fold repression of the @Regulated$ â€“ lacZ fusion , while a plasmid in which Mlc was under the control of the lac promoter , pTZ ( @TF$ ) , reduced expression of the fusion to less than measurable values ( greater than 100 - fold ; Table 5 ) .	Mlc	manX	[[242, 245], [140, 144]]	no_relation
